250V_1	250C_1	200V_1	200C_1	166V_1	166C_1	140V_1	140C_1	100V_1	100C_1	050V_1	050C_1	036V_1	036C_1	025V_1	025C_1	020V_1	020C_1	017V_1	017C_1	014V_1	014C_1	010V_1	010C_1
		-1.1	-4.05E-06	-1.92	-5.94E-05	-0.9697	-8.66E-07	0.04	3.37E-10	0.04	2.36E-10	0.04	1.71E-10	0.04	1.03E-10	0.04	6.70E-11	0.04	5.86E-11	0.04	3.58E-11	0.04	2.63E-11
		-1.05	-3.45E-06	-1.96	-5.81E-05	-1	-2.07E-06	0.02	1.69E-10	0.02	1.20E-10	0.02	8.58E-11	0.02	5.02E-11	0.02	3.63E-11	0.02	3.58E-11	0.02	2.00E-11	0.02	1.49E-11
		-1	-2.95E-06	-2	-5.61E-05	-1.0303	-3.65E-06	0	6.98E-12	0	6.84E-12	0	2.32E-11	0	6.46E-12	0	4.75E-12	0	4.76E-12	0	3.75E-12	0	3.03E-12
		-0.95	-2.51E-06	-1.96	-4.78E-05	-1.0606	-6.13E-06	-0.02	-9.80E-11	-0.02	-8.11E-11	-0.02	-6.35E-11	-0.02	-4.19E-11	-0.02	-2.55E-11	-0.02	-2.38E-11	-0.02	-1.20E-11	-0.02	-9.03E-12
		-0.9	-2.04E-06	-1.92	-4.15E-05	-1.0909	-1.26E-05	-0.04	-1.03E-10	-0.04	-1.63E-10	-0.04	-9.95E-11	-0.04	-9.44E-11	-0.04	-5.75E-11	-0.04	-5.61E-11	-0.04	-2.94E-11	-0.04	-2.20E-11
		-0.85	-1.65E-06	-1.88	-3.60E-05	-1.1212	-1.79E-05	-0.06	-4.18E-10	-0.06	-3.91E-10	-0.06	-1.03E-10	-0.06	-1.49E-10	-0.06	-8.46E-11	-0.06	-9.04E-11	-0.06	-5.18E-11	-0.06	-3.72E-11
		-0.8	-1.30E-06	-1.84	-3.21E-05	-1.1515	-2.43E-05	-0.08	-7.19E-10	-0.08	-5.60E-10	-0.08	-1.04E-10	-0.08	-2.31E-10	-0.08	-1.54E-10	-0.08	-1.29E-10	-0.08	-7.30E-11	-0.08	-5.44E-11
		-0.75	-1.01E-06	-1.8	-2.83E-05	-1.1818	-3.10E-05	-0.1	-9.78E-10	-0.1	-7.56E-10	-0.1	-5.48E-10	-0.1	-3.26E-10	-0.1	-2.02E-10	-0.1	-1.94E-10	-0.1	-8.41E-11	-0.1	-7.65E-11
		-0.7	-7.29E-07	-1.76	-2.50E-05	-1.2121	-3.96E-05	-0.12	-1.03E-09	-0.12	-9.67E-10	-0.12	-7.15E-10	-0.12	-4.28E-10	-0.12	-2.66E-10	-0.12	-2.37E-10	-0.12	-1.33E-10	-0.12	-1.09E-10
		-0.65	-5.20E-07	-1.72	-2.24E-05	-1.2424	-4.84E-05	-0.14	-1.75E-09	-0.14	-1.02E-09	-0.14	-9.02E-10	-0.14	-5.47E-10	-0.14	-3.33E-10	-0.14	-3.21E-10	-0.14	-1.79E-10	-0.14	-1.46E-10
		-0.6	-3.75E-07	-1.68	-2.01E-05	-1.2727	-5.67E-05	-0.16	-2.20E-09	-0.16	-1.05E-09	-0.16	-1.00E-09	-0.16	-6.87E-10	-0.16	-4.41E-10	-0.16	-4.14E-10	-0.16	-2.28E-10	-0.16	-1.85E-10
		-0.55	-2.45E-07	-1.64	-1.80E-05	-1.303	-6.53E-05	-0.18	-2.81E-09	-0.18	-1.99E-09	-0.18	-1.46E-09	-0.18	-8.75E-10	-0.18	-5.33E-10	-0.18	-5.16E-10	-0.18	-2.87E-10	-0.18	-2.30E-10
		-0.5	-1.56E-07	-1.6	-1.64E-05	-1.3333	-7.26E-05	-0.2	-3.26E-09	-0.2	-2.43E-09	-0.2	-1.83E-09	-0.2	-1.07E-09	-0.2	-6.71E-10	-0.2	-5.93E-10	-0.2	-3.69E-10	-0.2	-2.76E-10
		-0.45	-8.55E-08	-1.56	-1.48E-05	-1.3636	-7.86E-05	-0.22	-4.05E-09	-0.22	-2.98E-09	-0.22	-2.12E-09	-0.22	-1.32E-09	-0.22	-8.52E-10	-0.22	-7.58E-10	-0.22	-4.54E-10	-0.22	-3.52E-10
		-0.4	-5.05E-08	-1.52	-1.34E-05	-1.3939	-8.35E-05	-0.24	-4.86E-09	-0.24	-3.60E-09	-0.24	-2.62E-09	-0.24	-1.61E-09	-0.24	-9.97E-10	-0.24	-8.98E-10	-0.24	-5.71E-10	-0.24	-4.41E-10
		-0.35	-3.40E-08	-1.48	-1.22E-05	-1.4242	-8.70E-05	-0.26	-5.81E-09	-0.26	-4.28E-09	-0.26	-3.19E-09	-0.26	-1.94E-09	-0.26	-1.21E-09	-0.26	-1.05E-09	-0.26	-6.84E-10	-0.26	-5.37E-10
		-0.3	-2.13E-08	-1.44	-1.10E-05	-1.4545	-9.10E-05	-0.28	-6.96E-09	-0.28	-5.13E-09	-0.28	-3.82E-09	-0.28	-2.37E-09	-0.28	-1.49E-09	-0.28	-1.26E-09	-0.28	-8.43E-10	-0.28	-6.70E-10
		-0.25	-1.43E-08	-1.4	-1.00E-05	-1.4848	-9.23E-05	-0.3	-8.45E-09	-0.3	-6.08E-09	-0.3	-4.59E-09	-0.3	-2.81E-09	-0.3	-1.71E-09	-0.3	-1.54E-09	-0.3	-9.66E-10	-0.3	-7.96E-10
		-0.2	-9.72E-09	-1.36	-8.97E-06	-1.5152	-9.30E-05	-0.32	-9.87E-09	-0.32	-7.25E-09	-0.32	-5.42E-09	-0.32	-3.35E-09	-0.32	-2.09E-09	-0.32	-1.80E-09	-0.32	-1.28E-09	-0.32	-9.34E-10
		-0.15	-6.25E-09	-1.32	-7.81E-06	-1.5455	-9.22E-05	-0.34	-1.14E-08	-0.34	-8.60E-09	-0.34	-6.57E-09	-0.34	-3.90E-09	-0.34	-2.50E-09	-0.34	-2.11E-09	-0.34	-1.52E-09	-0.34	-9.95E-10
		-0.1	-3.47E-09	-1.28	-7.06E-06	-1.5758	-9.13E-05	-0.36	-1.35E-08	-0.36	-1.02E-08	-0.36	-7.75E-09	-0.36	-4.65E-09	-0.36	-3.02E-09	-0.36	-2.55E-09	-0.36	-1.86E-09	-0.36	-1.03E-09
		-0.05	-1.50E-09	-1.24	-6.39E-06	-1.6061	-8.89E-05	-0.38	-1.56E-08	-0.38	-1.20E-08	-0.38	-9.08E-09	-0.38	-5.61E-09	-0.38	-3.55E-09	-0.38	-2.98E-09	-0.38	-2.17E-09	-0.38	-1.62E-09
		0	5.90E-11	-1.2	-5.80E-06	-1.6364	-8.77E-05	-0.4	-1.84E-08	-0.4	-1.40E-08	-0.4	-1.05E-08	-0.4	-6.56E-09	-0.4	-4.28E-09	-0.4	-3.53E-09	-0.4	-2.58E-09	-0.4	-1.98E-09
				-1.16	-5.23E-06	-1.6667	-8.62E-05	-0.42	-2.15E-08	-0.42	-1.63E-08	-0.42	-1.22E-08	-0.42	-7.80E-09	-0.42	-5.14E-09	-0.42	-4.13E-09	-0.42	-3.04E-09	-0.42	-2.29E-09
				-1.12	-4.68E-06	-1.697	-8.40E-05	-0.44	-2.49E-08	-0.44	-1.90E-08	-0.44	-1.39E-08	-0.44	-9.20E-09	-0.44	-6.10E-09	-0.44	-4.90E-09	-0.44	-3.63E-09	-0.44	-2.73E-09
				-1.08	-4.17E-06	-1.7273	-8.20E-05	-0.46	-2.86E-08	-0.46	-2.16E-08	-0.46	-1.63E-08	-0.46	-1.09E-08	-0.46	-7.13E-09	-0.46	-5.70E-09	-0.46	-4.40E-09	-0.46	-3.27E-09
				-1.04	-3.67E-06	-1.7576	-7.97E-05	-0.48	-3.33E-08	-0.48	-2.55E-08	-0.48	-1.92E-08	-0.48	-1.25E-08	-0.48	-8.47E-09	-0.48	-6.67E-09	-0.48	-5.17E-09	-0.48	-3.90E-09
				-1	-3.26E-06	-1.7879	-7.88E-05	-0.5	-3.91E-08	-0.5	-2.97E-08	-0.5	-2.24E-08	-0.5	-1.50E-08	-0.5	-9.94E-09	-0.5	-7.99E-09	-0.5	-6.10E-09	-0.5	-4.58E-09
				-0.96	-2.80E-06	-1.8182	-7.68E-05	-0.52	-4.56E-08	-0.52	-3.40E-08	-0.52	-2.61E-08	-0.52	-1.73E-08	-0.52	-1.14E-08	-0.52	-9.30E-09	-0.52	-7.06E-09	-0.52	-5.38E-09
				-0.92	-2.38E-06	-1.8485	-7.53E-05	-0.54	-5.19E-08	-0.54	-3.95E-08	-0.54	-3.04E-08	-0.54	-2.01E-08	-0.54	-1.34E-08	-0.54	-1.07E-08	-0.54	-8.48E-09	-0.54	-6.32E-09
				-0.88	-2.00E-06	-1.8788	-7.32E-05	-0.56	-6.05E-08	-0.56	-4.59E-08	-0.56	-3.56E-08	-0.56	-2.33E-08	-0.56	-1.58E-08	-0.56	-1.26E-08	-0.56	-1.01E-08	-0.56	-7.44E-09
				-0.84	-1.64E-06	-1.9091	-7.17E-05	-0.58	-6.86E-08	-0.58	-5.26E-08	-0.58	-4.10E-08	-0.58	-2.71E-08	-0.58	-1.86E-08	-0.58	-1.50E-08	-0.58	-1.13E-08	-0.58	-8.77E-09
				-0.8	-1.37E-06	-1.9394	-6.98E-05	-0.6	-7.84E-08	-0.6	-6.01E-08	-0.6	-4.70E-08	-0.6	-3.18E-08	-0.6	-2.19E-08	-0.6	-1.75E-08	-0.6	-1.32E-08	-0.6	-9.97E-09
				-0.76	-1.09E-06	-1.9697	-6.79E-05	-0.62	-8.93E-08	-0.62	-6.90E-08	-0.62	-5.37E-08	-0.62	-3.69E-08	-0.62	-2.57E-08	-0.62	-2.03E-08	-0.62	-1.54E-08	-0.62	-1.18E-08
				-0.72	-8.29E-07	-2	-6.66E-05	-0.64	-1.03E-07	-0.64	-7.86E-08	-0.64	-6.12E-08	-0.64	-4.23E-08	-0.64	-2.99E-08	-0.64	-2.37E-08	-0.64	-1.82E-08	-0.64	-1.39E-08
				-0.68	-6.38E-07	-1.9697	-5.82E-05	-0.66	-1.13E-07	-0.66	-9.04E-08	-0.66	-7.06E-08	-0.66	-4.92E-08	-0.66	-3.48E-08	-0.66	-2.79E-08	-0.66	-2.11E-08	-0.66	-1.62E-08
				-0.64	-4.87E-07	-1.9394	-5.18E-05	-0.68	-1.30E-07	-0.68	-1.03E-07	-0.68	-8.06E-08	-0.68	-5.66E-08	-0.68	-4.05E-08	-0.68	-3.21E-08	-0.68	-2.48E-08	-0.68	-1.91E-08
				-0.6	-3.69E-07	-1.9091	-4.62E-05	-0.7	-1.46E-07	-0.7	-1.14E-07	-0.7	-9.25E-08	-0.7	-6.44E-08	-0.7	-4.66E-08	-0.7	-3.75E-08	-0.7	-2.89E-08	-0.7	-2.24E-08
				-0.56	-2.58E-07	-1.8788	-4.15E-05	-0.72	-1.65E-07	-0.72	-1.28E-07	-0.72	-1.04E-07	-0.72	-7.46E-08	-0.72	-5.36E-08	-0.72	-4.30E-08	-0.72	-3.50E-08	-0.72	-2.68E-08
				-0.52	-1.71E-07	-1.8485	-3.77E-05	-0.74	-1.84E-07	-0.74	-1.44E-07	-0.74	-1.13E-07	-0.74	-8.38E-08	-0.74	-6.16E-08	-0.74	-4.96E-08	-0.74	-4.18E-08	-0.74	-3.29E-08
				-0.48	-1.12E-07	-1.8182	-3.43E-05	-0.76	-2.07E-07	-0.76	-1.62E-07	-0.76	-1.28E-07	-0.76	-9.73E-08	-0.76	-7.11E-08	-0.76	-6.23E-08	-0.76	-5.30E-08	-0.76	-3.60E-08
				-0.44	-6.32E-08	-1.7879	-3.10E-05	-0.78	-2.30E-07	-0.78	-1.82E-07	-0.78	-1.49E-07	-0.78	-1.13E-07	-0.78	-8.25E-08	-0.78	-7.88E-08	-0.78	-6.73E-08	-0.78	-4.47E-08
				-0.4	-4.12E-08	-1.7576	-2.84E-05	-0.8	-2.55E-07	-0.8	-2.02E-07	-0.8	-1.72E-07	-0.8	-1.48E-07	-0.8	-9.80E-08	-0.8	-1.18E-07	-0.8	-9.04E-08	-0.8	-5.95E-08
				-0.36	-2.77E-08	-1.7273	-2.58E-05	-0.82	-2.82E-07	-0.82	-2.33E-07	-0.82	-2.21E-07	-0.82	-2.04E-07	-0.82	-1.55E-07	-0.82	-1.73E-07	-0.82	-1.34E-07	-0.82	-8.08E-08
				-0.32	-1.94E-08	-1.697	-2.37E-05	-0.84	-3.10E-07	-0.84	-2.83E-07	-0.84	-3.21E-07	-0.84	-3.68E-07	-0.84	-2.41E-07	-0.84	-3.34E-07	-0.84	-2.08E-07	-0.84	-1.76E-07
				-0.28	-1.34E-08	-1.6667	-2.16E-05	-0.86	-3.40E-07	-0.86	-3.74E-07	-0.86	-6.59E-07	-0.86	-6.23E-07	-0.86	-4.47E-07	-0.86	-6.95E-07	-0.86	-3.08E-07	-0.86	-3.27E-07
				-0.24	-8.81E-09	-1.6364	-1.98E-05	-0.88	-3.85E-07	-0.88	-6.16E-07	-0.88	-2.59E-06	-0.88	-1.97E-06	-0.88	-1.67E-06	-0.88	-1.32E-06	-0.88	-6.46E-07	-0.88	-6.20E-07
				-0.2	-6.08E-09	-1.6061	-1.83E-05	-0.9	-4.60E-07	-0.9	-2.35E-06	-0.9	-4.31E-06	-0.9	-3.65E-06	-0.9	-3.03E-06	-0.9	-2.10E-06	-0.9	-1.38E-06	-0.9	-1.40E-06
				-0.16	-3.79E-09	-1.5758	-1.69E-05	-0.92	-6.19E-07	-0.92	-4.18E-06	-0.92	-7.36E-06	-0.92	-6.36E-06	-0.92	-5.56E-06	-0.92	-3.42E-06	-0.92	-2.11E-06	-0.92	-2.43E-06
				-0.12	-2.43E-09	-1.5455	-1.57E-05	-0.94	-9.69E-07	-0.94	-6.51E-06	-0.94	-1.86E-05	-0.94	-1.68E-05	-0.94	-1.30E-05	-0.94	-5.50E-06	-0.94	-3.38E-06	-0.94	-3.63E-06
				-0.08	-1.32E-09	-1.5152	-1.43E-05	-0.96	-2.10E-06	-0.96	-1.54E-05	-0.96	-2.60E-05	-0.96	-2.44E-05	-0.96	-2.00E-05	-0.96	-9.30E-06	-0.96	-5.54E-06	-0.96	-5.57E-06
				-0.04	-5.20E-10	-1.4848	-1.34E-05	-0.98	-3.17E-06	-0.98	-2.09E-05	-0.98	-3.49E-05	-0.98	-3.49E-05	-0.98	-2.88E-05	-0.98	-1.76E-05	-0.98	-1.16E-05	-0.98	-8.50E-06
				0	4.94E-11	-1.4545	-1.24E-05	-1	-4.84E-06	-1	-2.83E-05	-1	-4.71E-05	-1	-4.77E-05	-1	-4.06E-05	-1	-2.52E-05	-1	-1.74E-05	-1	-1.66E-05
						-1.4242	-1.15E-05	-1.02	-7.50E-06	-1.02	-3.66E-05	-1.02	-6.06E-05	-1.02	-6.33E-05	-1.02	-5.52E-05	-1.02	-3.59E-05	-1.02	-2.47E-05	-1.02	-2.31E-05
						-1.3939	-1.07E-05	-1.04	-1.34E-05	-1.04	-4.66E-05	-1.04	-7.68E-05	-1.04	-8.14E-05	-1.04	-7.37E-05	-1.04	-4.94E-05	-1.04	-3.51E-05	-1.04	-3.19E-05
						-1.3636	-9.61E-06	-1.06	-1.80E-05	-1.06	-5.92E-05	-1.06	-1.14E-04	-1.06	-1.18E-04	-1.06	-9.44E-05	-1.06	-6.62E-05	-1.06	-4.81E-05	-1.06	-4.28E-05
						-1.3333	-8.46E-06	-1.08	-2.34E-05	-1.08	-7.21E-05	-1.08	-1.32E-04	-1.08	-1.39E-04	-1.08	-1.25E-04	-1.08	-8.50E-05	-1.08	-6.30E-05	-1.08	-5.40E-05
						-1.303	-7.83E-06	-1.1	-2.93E-05	-1.1	-8.68E-05	-1.1	-1.53E-04	-1.1	-1.61E-04	-1.1	-1.46E-04	-1.1	-1.15E-04	-1.1	-7.89E-05	-1.1	-6.75E-05
						-1.2727	-7.30E-06	-1.12	-3.71E-05	-1.12	-1.15E-04	-1.12	-1.70E-04	-1.12	-1.81E-04	-1.12	-1.64E-04	-1.12	-1.32E-04	-1.12	-9.39E-05	-1.12	-7.96E-05
						-1.2424	-6.74E-06	-1.14	-4.58E-05	-1.14	-1.30E-04	-1.14	-1.88E-04	-1.14	-1.99E-04	-1.14	-1.79E-04	-1.14	-1.48E-04	-1.14	-1.08E-04	-1.14	-9.04E-05
						-1.2121	-6.31E-06	-1.16	-5.47E-05	-1.16	-1.44E-04	-1.16	-2.05E-04	-1.16	-2.14E-04	-1.16	-1.91E-04	-1.16	-1.59E-04	-1.16	-1.16E-04	-1.16	-9.92E-05
						-1.1818	-5.79E-06	-1.18	-6.45E-05	-1.18	-1.58E-04	-1.18	-2.20E-04	-1.18	-2.27E-04	-1.18	-2.01E-04	-1.18	-1.67E-04	-1.18	-1.21E-04	-1.18	-1.05E-04
						-1.1515	-5.38E-06	-1.2	-7.44E-05	-1.2	-1.70E-04	-1.2	-2.34E-04	-1.2	-2.36E-04	-1.2	-2.07E-04	-1.2	-1.71E-04	-1.2	-1.24E-04	-1.2	-1.04E-04
						-1.1212	-4.93E-06	-1.22	-8.38E-05	-1.22	-1.81E-04	-1.22	-2.43E-04	-1.22	-2.40E-04	-1.22	-2.08E-04	-1.22	-1.70E-04	-1.22	-1.24E-04	-1.22	-1.02E-04
						-1.0909	-4.52E-06	-1.24	-9.30E-05	-1.24	-1.91E-04	-1.24	-2.51E-04	-1.24	-2.42E-04	-1.24	-2.06E-04	-1.24	-1.68E-04	-1.24	-1.22E-04	-1.24	-9.52E-05
						-1.0606	-4.10E-06	-1.26	-1.01E-04	-1.26	-1.98E-04	-1.26	-2.57E-04	-1.26	-2.40E-04	-1.26	-2.01E-04	-1.26	-1.63E-04	-1.26	-1.18E-04	-1.26	-9.02E-05
						-1.0303	-3.70E-06	-1.28	-1.08E-04	-1.28	-2.02E-04	-1.28	-2.57E-04	-1.28	-2.36E-04	-1.28	-1.94E-04	-1.28	-1.56E-04	-1.28	-1.11E-04	-1.28	-8.55E-05
						-1	-3.32E-06	-1.3	-1.14E-04	-1.3	-2.08E-04	-1.3	-2.55E-04	-1.3	-2.30E-04	-1.3	-1.86E-04	-1.3	-1.48E-04	-1.3	-1.04E-04	-1.3	-8.08E-05
						-0.9697	-2.96E-06	-1.32	-1.20E-04	-1.32	-2.10E-04	-1.32	-2.51E-04	-1.32	-2.22E-04	-1.32	-1.77E-04	-1.32	-1.40E-04	-1.32	-9.45E-05	-1.32	-7.45E-05
						-0.9394	-2.68E-06	-1.34	-1.24E-04	-1.34	-2.10E-04	-1.34	-2.46E-04	-1.34	-2.11E-04	-1.34	-1.67E-04	-1.34	-1.30E-04	-1.34	-8.72E-05	-1.34	-6.95E-05
						-0.9091	-2.34E-06	-1.36	-1.28E-04	-1.36	-2.08E-04	-1.36	-2.38E-04	-1.36	-2.01E-04	-1.36	-1.57E-04	-1.36	-1.22E-04	-1.36	-8.23E-05	-1.36	-6.46E-05
						-0.8788	-2.01E-06	-1.38	-1.29E-04	-1.38	-2.06E-04	-1.38	-2.30E-04	-1.38	-1.90E-04	-1.38	-1.48E-04	-1.38	-1.13E-04	-1.38	-7.71E-05	-1.38	-5.99E-05
						-0.8485	-1.71E-06	-1.4	-1.31E-04	-1.4	-2.02E-04	-1.4	-2.20E-04	-1.4	-1.80E-04	-1.4	-1.38E-04	-1.4	-1.05E-04	-1.4	-7.19E-05	-1.4	-5.59E-05
						-0.8182	-1.46E-06	-1.42	-1.32E-04	-1.42	-1.97E-04	-1.42	-2.11E-04	-1.42	-1.69E-04	-1.42	-1.29E-04	-1.42	-9.39E-05	-1.42	-6.67E-05	-1.42	-5.22E-05
						-0.7879	-1.25E-06	-1.44	-1.31E-04	-1.44	-1.92E-04	-1.44	-2.02E-04	-1.44	-1.60E-04	-1.44	-1.20E-04	-1.44	-8.83E-05	-1.44	-6.21E-05	-1.44	-4.85E-05
						-0.7576	-1.05E-06	-1.46	-1.31E-04	-1.46	-1.86E-04	-1.46	-1.94E-04	-1.46	-1.51E-04	-1.46	-1.13E-04	-1.46	-8.20E-05	-1.46	-5.82E-05	-1.46	-4.51E-05
						-0.7273	-8.44E-07	-1.48	-1.29E-04	-1.48	-1.80E-04	-1.48	-1.84E-04	-1.48	-1.43E-04	-1.48	-1.06E-04	-1.48	-7.72E-05	-1.48	-5.51E-05	-1.48	-4.20E-05
						-0.697	-6.88E-07	-1.5	-1.27E-04	-1.5	-1.75E-04	-1.5	-1.77E-04	-1.5	-1.35E-04	-1.5	-1.01E-04	-1.5	-7.29E-05	-1.5	-5.20E-05	-1.5	-3.99E-05
						-0.6667	-5.51E-07	-1.52	-1.26E-04	-1.52	-1.68E-04	-1.52	-1.69E-04	-1.52	-1.28E-04	-1.52	-9.09E-05	-1.52	-6.88E-05	-1.52	-4.93E-05	-1.52	-3.82E-05
						-0.6364	-4.41E-07	-1.54	-1.23E-04	-1.54	-1.62E-04	-1.54	-1.61E-04	-1.54	-1.22E-04	-1.54	-8.63E-05	-1.54	-6.58E-05	-1.54	-4.69E-05	-1.54	-3.60E-05
						-0.6061	-3.52E-07	-1.56	-1.21E-04	-1.56	-1.57E-04	-1.56	-1.52E-04	-1.56	-1.16E-04	-1.56	-8.20E-05	-1.56	-6.27E-05	-1.56	-4.48E-05	-1.56	-3.39E-05
						-0.5758	-2.66E-07	-1.58	-1.19E-04	-1.58	-1.52E-04	-1.58	-1.47E-04	-1.58	-1.11E-04	-1.58	-7.89E-05	-1.58	-6.00E-05	-1.58	-4.26E-05	-1.58	-3.25E-05
						-0.5455	-2.04E-07	-1.6	-1.16E-04	-1.6	-1.47E-04	-1.6	-1.42E-04	-1.6	-1.06E-04	-1.6	-7.64E-05	-1.6	-5.75E-05	-1.6	-4.05E-05	-1.6	-3.07E-05
						-0.5152	-1.48E-07	-1.62	-1.14E-04	-1.62	-1.42E-04	-1.62	-1.37E-04	-1.62	-1.01E-04	-1.62	-7.30E-05	-1.62	-5.50E-05	-1.62	-3.92E-05	-1.62	-2.96E-05
						-0.4848	-1.06E-07	-1.64	-1.11E-04	-1.64	-1.38E-04	-1.64	-1.31E-04	-1.64	-9.37E-05	-1.64	-7.00E-05	-1.64	-5.27E-05	-1.64	-3.75E-05	-1.64	-2.85E-05
						-0.4545	-6.95E-08	-1.66	-1.09E-04	-1.66	-1.33E-04	-1.66	-1.28E-04	-1.66	-9.10E-05	-1.66	-6.78E-05	-1.66	-5.08E-05	-1.66	-3.62E-05	-1.66	-2.75E-05
						-0.4242	-4.86E-08	-1.68	-1.07E-04	-1.68	-1.30E-04	-1.68	-1.24E-04	-1.68	-8.75E-05	-1.68	-6.55E-05	-1.68	-4.93E-05	-1.68	-3.49E-05	-1.68	-2.63E-05
						-0.3939	-3.58E-08	-1.7	-1.05E-04	-1.7	-1.25E-04	-1.7	-1.20E-04	-1.7	-8.50E-05	-1.7	-6.36E-05	-1.7	-4.74E-05	-1.7	-3.39E-05	-1.7	-2.57E-05
						-0.3636	-2.70E-08	-1.72	-1.03E-04	-1.72	-1.23E-04	-1.72	-1.17E-04	-1.72	-8.31E-05	-1.72	-6.19E-05	-1.72	-4.60E-05	-1.72	-3.28E-05	-1.72	-2.47E-05
						-0.3333	-2.00E-08	-1.74	-1.00E-04	-1.74	-1.19E-04	-1.74	-1.14E-04	-1.74	-8.05E-05	-1.74	-6.05E-05	-1.74	-4.46E-05	-1.74	-3.20E-05	-1.74	-2.41E-05
						-0.303	-1.40E-08	-1.76	-9.55E-05	-1.76	-1.16E-04	-1.76	-1.11E-04	-1.76	-7.88E-05	-1.76	-5.93E-05	-1.76	-4.38E-05	-1.76	-3.15E-05	-1.76	-2.40E-05
						-0.2727	-1.05E-08	-1.78	-9.37E-05	-1.78	-1.13E-04	-1.78	-1.08E-04	-1.78	-7.73E-05	-1.78	-5.81E-05	-1.78	-4.27E-05	-1.78	-3.10E-05	-1.78	-2.35E-05
						-0.2424	-7.83E-09	-1.8	-9.16E-05	-1.8	-1.10E-04	-1.8	-1.05E-04	-1.8	-7.60E-05	-1.8	-5.68E-05	-1.8	-4.23E-05	-1.8	-3.10E-05	-1.8	-2.33E-05
						-0.2121	-5.82E-09	-1.82	-9.09E-05	-1.82	-1.08E-04	-1.82	-1.02E-04	-1.82	-7.48E-05	-1.82	-5.58E-05	-1.82	-4.19E-05	-1.82	-3.06E-05	-1.82	-2.35E-05
						-0.1818	-3.66E-09	-1.84	-8.87E-05	-1.84	-1.05E-04	-1.84	-1.01E-04	-1.84	-7.38E-05	-1.84	-5.56E-05	-1.84	-4.20E-05	-1.84	-3.08E-05	-1.84	-2.37E-05
						-0.1515	-2.63E-09	-1.86	-8.74E-05	-1.86	-1.03E-04	-1.86	-9.59E-05	-1.86	-7.33E-05	-1.86	-5.53E-05	-1.86	-4.23E-05	-1.86	-3.16E-05	-1.86	-2.40E-05
						-0.1212	-1.68E-09	-1.88	-8.55E-05	-1.88	-1.01E-04	-1.88	-9.40E-05	-1.88	-7.35E-05	-1.88	-5.59E-05	-1.88	-4.30E-05	-1.88	-3.23E-05	-1.88	-2.47E-05
						-0.0909	-1.18E-09	-1.9	-8.49E-05	-1.9	-9.58E-05	-1.9	-9.31E-05	-1.9	-7.36E-05	-1.9	-5.70E-05	-1.9	-4.40E-05	-1.9	-3.34E-05	-1.9	-2.56E-05
						-0.0606	-5.96E-10	-1.92	-8.30E-05	-1.92	-9.43E-05	-1.92	-9.28E-05	-1.92	-7.48E-05	-1.92	-5.85E-05	-1.92	-4.60E-05	-1.92	-3.52E-05	-1.92	-2.66E-05
						-0.0303	-2.27E-10	-1.94	-8.10E-05	-1.94	-9.28E-05	-1.94	-9.33E-05	-1.94	-7.68E-05	-1.94	-6.09E-05	-1.94	-4.81E-05	-1.94	-3.75E-05	-1.94	-2.82E-05
						0	4.21E-11	-1.96	-7.96E-05	-1.96	-9.25E-05	-1.96	-9.43E-05	-1.96	-8.00E-05	-1.96	-6.42E-05	-1.96	-5.18E-05	-1.96	-4.04E-05	-1.96	-2.99E-05
								-1.98	-7.88E-05	-1.98	-9.27E-05	-1.98	-9.69E-05	-1.98	-8.41E-05	-1.98	-6.88E-05	-1.98	-5.61E-05	-1.98	-4.38E-05	-1.98	-3.15E-05
								-2	-7.77E-05	-2	-9.33E-05	-2	-1.01E-04	-2	-8.96E-05	-2	-7.46E-05	-2	-6.16E-05	-2	-4.74E-05	-2	-3.38E-05
								-1.98	-7.17E-05	-1.98	-8.81E-05	-1.98	-9.83E-05	-1.98	-8.93E-05	-1.98	-7.41E-05	-1.98	-6.17E-05	-1.98	-4.68E-05	-1.98	-3.29E-05
								-1.96	-6.60E-05	-1.96	-8.33E-05	-1.96	-9.45E-05	-1.96	-8.73E-05	-1.96	-7.27E-05	-1.96	-6.03E-05	-1.96	-4.55E-05	-1.96	-3.15E-05
								-1.94	-6.15E-05	-1.94	-7.86E-05	-1.94	-9.06E-05	-1.94	-8.45E-05	-1.94	-7.01E-05	-1.94	-5.80E-05	-1.94	-4.35E-05	-1.94	-3.00E-05
								-1.92	-5.74E-05	-1.92	-7.45E-05	-1.92	-8.62E-05	-1.92	-8.09E-05	-1.92	-6.68E-05	-1.92	-5.53E-05	-1.92	-4.13E-05	-1.92	-2.81E-05
								-1.9	-5.30E-05	-1.9	-7.03E-05	-1.9	-8.15E-05	-1.9	-7.69E-05	-1.9	-6.33E-05	-1.9	-5.20E-05	-1.9	-3.89E-05	-1.9	-2.64E-05
								-1.88	-4.96E-05	-1.88	-6.61E-05	-1.88	-7.70E-05	-1.88	-7.27E-05	-1.88	-5.95E-05	-1.88	-4.90E-05	-1.88	-3.66E-05	-1.88	-2.47E-05
								-1.86	-4.63E-05	-1.86	-6.23E-05	-1.86	-7.25E-05	-1.86	-6.83E-05	-1.86	-5.56E-05	-1.86	-4.57E-05	-1.86	-3.40E-05	-1.86	-2.32E-05
