250V_1	250C_1	200V_1	200C_1	166V_1	166C_1	140V_1	140C_1	100V_1	100C_1	050V_1	050C_1	036V_1	036C_1	025V_1	025C_1	020V_1	020C_1	017V_1	017C_1	014V_1	014C_1	010V_1	010C_1
0.4667	1.18E-07	0.85	2.62E-07	0.92	2.82E-07	0.697	1.09E-07	0.46	2.43E-08	0.46	2.00E-08	0.46	1.65E-08	0.46	1.19E-08	0.46	6.72E-09	0.46	4.67E-09	0.46	4.26E-09	0.46	2.48E-09
0.4	8.90E-08	0.8	2.22E-07	0.96	3.12E-07	0.7273	1.22E-07	0.48	2.79E-08	0.48	2.27E-08	0.48	1.88E-08	0.48	1.26E-08	0.48	7.62E-09	0.48	5.24E-09	0.48	4.78E-09	0.48	2.84E-09
0.3333	6.52E-08	0.75	1.83E-07	1	3.46E-07	0.7576	1.36E-07	0.5	3.18E-08	0.5	2.61E-08	0.5	2.07E-08	0.5	1.42E-08	0.5	8.40E-09	0.5	5.92E-09	0.5	5.43E-09	0.5	3.27E-09
0.2667	4.54E-08	0.7	1.51E-07	0.96	2.97E-07	0.7879	1.51E-07	0.52	3.65E-08	0.52	2.98E-08	0.52	2.35E-08	0.52	1.55E-08	0.52	9.32E-09	0.52	6.52E-09	0.52	6.04E-09	0.52	3.57E-09
0.2	2.90E-08	0.65	1.24E-07	0.92	2.58E-07	0.8182	1.66E-07	0.54	4.13E-08	0.54	3.39E-08	0.54	2.58E-08	0.54	1.74E-08	0.54	1.03E-08	0.54	7.03E-09	0.54	6.58E-09	0.54	4.08E-09
0.1333	1.62E-08	0.6	1.01E-07	0.88	2.23E-07	0.8485	1.83E-07	0.56	4.66E-08	0.56	3.84E-08	0.56	3.04E-08	0.56	1.95E-08	0.56	1.15E-08	0.56	7.65E-09	0.56	7.30E-09	0.56	4.41E-09
0.0667	7.02E-09	0.55	8.20E-08	0.84	1.97E-07	0.8788	1.97E-07	0.58	5.22E-08	0.58	4.30E-08	0.58	3.30E-08	0.58	2.14E-08	0.58	1.25E-08	0.58	8.60E-09	0.58	7.82E-09	0.58	5.45E-09
0	3.11E-11	0.5	6.49E-08	0.8	1.71E-07	0.9091	2.13E-07	0.6	5.81E-08	0.6	4.82E-08	0.6	3.53E-08	0.6	2.32E-08	0.6	1.35E-08	0.6	9.28E-09	0.6	8.68E-09	0.6	5.74E-09
-0.0667	-7.15E-09	0.45	5.19E-08	0.76	1.46E-07	0.9394	2.31E-07	0.62	6.47E-08	0.62	5.33E-08	0.62	3.93E-08	0.62	2.52E-08	0.62	1.46E-08	0.62	1.03E-08	0.62	9.34E-09	0.62	6.52E-09
-0.1333	-1.79E-08	0.4	4.07E-08	0.72	1.25E-07	0.9697	2.49E-07	0.64	7.15E-08	0.64	5.94E-08	0.64	4.33E-08	0.64	2.78E-08	0.64	1.62E-08	0.64	1.52E-08	0.64	1.02E-08	0.64	7.05E-09
-0.2	-3.28E-08	0.35	3.16E-08	0.68	1.05E-07	1	2.70E-07	0.66	7.83E-08	0.66	6.44E-08	0.66	4.67E-08	0.66	3.04E-08	0.66	1.76E-08	0.66	1.81E-08	0.66	1.13E-08	0.66	7.66E-09
-0.2667	-5.21E-08	0.3	2.40E-08	0.64	9.02E-08	0.9697	2.43E-07	0.68	8.53E-08	0.68	7.07E-08	0.68	5.07E-08	0.68	3.41E-08	0.68	1.93E-08	0.68	1.80E-08	0.68	1.22E-08	0.68	8.24E-09
-0.3333	-7.68E-08	0.25	1.78E-08	0.6	7.51E-08	0.9394	2.14E-07	0.7	9.31E-08	0.7	7.66E-08	0.7	5.43E-08	0.7	3.65E-08	0.7	2.11E-08	0.7	2.02E-08	0.7	1.32E-08	0.7	9.00E-09
-0.4	-1.12E-07	0.2	1.26E-08	0.56	6.22E-08	0.9091	1.91E-07	0.72	1.01E-07	0.72	8.27E-08	0.72	5.93E-08	0.72	3.90E-08	0.72	2.32E-08	0.72	2.26E-08	0.72	1.42E-08	0.72	9.83E-09
-0.4667	-1.53E-07	0.15	8.32E-09	0.52	5.02E-08	0.8788	1.71E-07	0.74	1.07E-07	0.74	8.84E-08	0.74	6.46E-08	0.74	4.31E-08	0.74	2.54E-08	0.74	2.45E-08	0.74	1.54E-08	0.74	1.04E-08
-0.5333	-2.08E-07	0.1	4.92E-09	0.48	4.17E-08	0.8485	1.52E-07	0.76	1.14E-07	0.76	9.59E-08	0.76	6.96E-08	0.76	4.61E-08	0.76	2.77E-08	0.76	2.44E-08	0.76	1.65E-08	0.76	1.15E-08
-0.6	-2.87E-07	0.05	2.20E-09	0.44	3.46E-08	0.8182	1.36E-07	0.78	1.22E-07	0.78	1.03E-07	0.78	7.40E-08	0.78	5.00E-08	0.78	3.06E-08	0.78	2.59E-08	0.78	1.83E-08	0.78	1.22E-08
