voltage,lam,chi,gam,E_AB,kappa,gL,gR,E_AC
0,1.2,2.7,4.5,0.8,80,4.00E-05,8.00E-05,-0.9
0.25,1.2,2.7,4.5,0.8,80,4.00E-05,8.00E-05,-0.9
0.5,1.2,2.7,4.5,0.8,80,4.00E-05,8.00E-05,-0.9
0.75,1.2,2.7,4.5,0.8,80,4.00E-05,8.00E-05,-0.9
1,1,1.4,1,0.8,80,4.00E-05,1.00E-04,-1.35
1.25,1,1.1,1,0.7,120,4.00E-05,4.00E-04,-1.52
1.5,1,2.5,4.5,0.7,60,4.00E-05,8.00E-04,-0.98
1.75,1,2.5,4.5,0.74,60,4.00E-05,5.48E-05,-0.98
2,1,2.5,4.5,0.78,60,4.00E-05,3.45E-05,-0.98
