voltage,lam,chi,gam,E_AB,kappa,gL,gR,E_AC
0,1.2,2.67,4,0.8,65,1.00E-05,1.13E-04,-0.8
0.25,1.2,2.67,4,0.8,65,1.00E-05,1.13E-04,-0.8
0.5,1.2,2.67,4,0.8,65,1.00E-05,8.13E-05,-0.8
0.75,1.2,2.67,4,0.8,65,1.00E-05,8.13E-05,-0.8
1,1.2,2.67,4,0.8,65,1.00E-05,8.13E-05,-0.8
1.25,1.2,1.3,2,0.86,65,1.00E-05,8.34E-04,-1.45
1.5,1,1.3,0.719,0.77,80,1.00E-05,1.00E-03,-1.6
1.75,1,1.3,0.719,0.75,80,1.00E-05,2.00E-03,-1.6
2,1,1.3,0.719,0.75,80,1.00E-05,3.00E-03,-1.6
