voltage,lam,chi,gam,E_AB,kappa,gL,gR,E_AC
0,1.2,2.8,3,0.8,100,1.00E-05,8.00E-05,-0.9
0.25,1.2,2.8,3,0.8,100,1.00E-05,8.00E-05,-0.9
0.5,1.2,2.8,3,0.8,100,1.00E-05,8.00E-05,-0.9
0.75,1.2,2.8,3,0.8,100,1.00E-05,8.00E-05,-0.9
1,1.2,2.8,3,0.8,100,1.00E-05,8.00E-05,-0.9
1.25,1.2,2.8,3,0.79,100,1.00E-05,8.00E-05,-1.1
1.5,1.2,2.8,4.5,0.776,15,1.00E-05,2.00E-05,-0.7
1.75,1.2,2.8,2,0.76,30,1.00E-05,2.00E-05,-0.75
2,1.2,2.8,2,0.76,30,1.00E-05,2.00E-05,-0.95
