DatSet,lam,chi,gam,E_AB,kappa,gL,gR,E_AC
F4-HATNA_Neg,1,1.1,1,0.7,33.37,0.0000684,0.00004134,-1.52
MeO-HATNA_Neg,1,1.1,1,0.7,23.6,0.0000684,0.00004134,-1.52
NO2-HATNA_Neg,1,1.3,0.719,0.75,65,0.00001,0.00008134,-1.6
NH2-HATNA_Neg,1.2,1.2,1,0.708,22.8,0.0001,2.13E-05,-1.52
TAP_Neg,1,1.1,1,0.7,60,0.00004,0.0000345,-1.52
DAP_Neg,1.2,2.8,2,0.76,15,0.00001,0.00002,-1.1
