voltage,lam,chi,gam,E_AB,kappa,gL,gR,E_AC
0,1.2,2.4,3,0.8,8.00E+01,1.00E-04,9.13E-05,-0.9
0.25,1.2,2.4,3,0.8,8.00E+01,1.00E-04,2.13E-05,-0.9
0.5,1.2,2.4,3,0.8,8.00E+01,1.00E-04,4.13E-05,-0.9
0.75,1.2,2.4,3,0.8,8.00E+01,1.00E-04,4.13E-05,-0.9
1,1.2,1.2,2,0.8,1.00E+02,1.00E-04,2.13E-05,-1.35
1.25,1.2,1.2,1,0.708,1.00E+02,1.00E-04,1.00E-04,-1.52
1.5,1.2,1.9,2.5,0.73,2.28E+01,1.00E-04,7.40E-05,-0.7
1.75,1.2,1.9,2.5,0.73,3.98E+01,1.00E-04,8.51E-05,-0.9
2,1.2,1.9,2.5,0.78,5.00E+01,1.00E-04,9.45E-04,-1.1
