DatSet,lam,chi,gam,E_AB,kappa,gL,gR,E_AC
F4-HATNA_Neg,1.2,2.67,4.5,0.78,100,0.0000684,0.0008,-0.7
MeO-HATNA_Neg,1.2,2.6,4.5,0.77,120,0.0000684,0.0001,-0.7
NO2-HATNA_Neg,1.2,2.67,4,0.86,80,0.00001,0.003,-0.8
NH2-HATNA_Neg,1.2,2.4,3,0.8,100,0.0001,9.45E-04,-0.7
TAP_Neg,1.2,2.7,4.5,0.8,120,0.00004,0.0008,-0.9
DAP_Neg,1.2,2.8,4.5,0.8,100,0.00001,0.00008,-7.00E-01
